IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.17.97.24,1,1,0.00,150.55,0.00,N/A
108.162.198.1,1,1,0.00,150.58,0.00,N/A
104.16.18.160,1,1,0.00,150.58,0.00,N/A
104.19.210.24,1,1,0.00,150.62,0.00,N/A
104.18.80.124,1,1,0.00,150.63,0.00,N/A
104.16.4.236,1,1,0.00,150.63,0.00,N/A
172.64.90.194,1,1,0.00,150.63,0.00,N/A
104.20.46.128,1,1,0.00,150.69,0.00,N/A
104.17.22.221,1,1,0.00,150.70,0.00,N/A
104.21.104.29,1,1,0.00,150.76,0.00,N/A
104.16.70.47,1,1,0.00,150.76,0.00,N/A
104.24.134.43,1,1,0.00,150.78,0.00,N/A
172.67.255.123,1,1,0.00,150.80,0.00,N/A
104.27.192.205,1,1,0.00,150.82,0.00,N/A
104.27.109.51,1,1,0.00,150.84,0.00,N/A
172.66.170.62,1,1,0.00,150.84,0.00,N/A
104.21.59.163,1,1,0.00,150.84,0.00,N/A
172.67.208.110,1,1,0.00,150.89,0.00,N/A
104.21.60.91,1,1,0.00,150.91,0.00,N/A
104.24.222.132,1,1,0.00,150.91,0.00,N/A
104.17.14.153,1,1,0.00,150.93,0.00,N/A
104.25.44.208,1,1,0.00,150.95,0.00,N/A
104.18.66.211,1,1,0.00,150.97,0.00,N/A
172.66.165.8,1,1,0.00,150.98,0.00,N/A
104.18.70.130,1,1,0.00,150.99,0.00,N/A
104.16.174.209,1,1,0.00,151.01,0.00,N/A
104.18.19.113,1,1,0.00,151.06,0.00,N/A
104.18.202.30,1,1,0.00,151.07,0.00,N/A
162.159.153.32,1,1,0.00,151.08,0.00,N/A
104.21.12.28,1,1,0.00,151.09,0.00,N/A
162.159.26.157,1,1,0.00,151.10,0.00,N/A
104.17.237.160,1,1,0.00,151.11,0.00,N/A
104.21.38.98,1,1,0.00,151.14,0.00,N/A
104.25.191.215,1,1,0.00,151.16,0.00,N/A
104.27.94.235,1,1,0.00,151.18,0.00,N/A
104.21.216.211,1,1,0.00,151.18,0.00,N/A
104.16.27.115,1,1,0.00,151.21,0.00,N/A
104.17.9.70,1,1,0.00,151.22,0.00,N/A
173.245.49.122,1,1,0.00,151.24,0.00,N/A
104.17.250.73,1,1,0.00,151.25,0.00,N/A
104.16.141.137,1,1,0.00,151.25,0.00,N/A
104.17.150.37,1,1,0.00,151.25,0.00,N/A
104.19.4.125,1,1,0.00,151.39,0.00,N/A
104.18.181.38,1,1,0.00,151.39,0.00,N/A
104.17.213.92,1,1,0.00,151.42,0.00,N/A
104.19.182.114,1,1,0.00,151.43,0.00,N/A
104.19.126.84,1,1,0.00,151.43,0.00,N/A
162.159.58.48,1,1,0.00,151.45,0.00,N/A
104.17.73.181,1,1,0.00,151.45,0.00,N/A
104.16.88.69,1,1,0.00,151.47,0.00,N/A
104.25.77.123,1,1,0.00,151.48,0.00,N/A
104.18.117.144,1,1,0.00,151.49,0.00,N/A
104.16.192.211,1,1,0.00,151.50,0.00,N/A
172.67.244.165,1,1,0.00,151.51,0.00,N/A
172.67.149.131,1,1,0.00,151.55,0.00,N/A
104.24.148.253,1,1,0.00,151.57,0.00,N/A
104.16.242.179,1,1,0.00,151.60,0.00,N/A
104.18.145.165,1,1,0.00,151.63,0.00,N/A
172.67.120.182,1,1,0.00,151.64,0.00,N/A
104.25.82.125,1,1,0.00,151.65,0.00,N/A
104.17.39.254,1,1,0.00,151.66,0.00,N/A
172.64.42.202,1,1,0.00,151.66,0.00,N/A
104.17.60.127,1,1,0.00,151.67,0.00,N/A
